site,cage,treatment,tile,tile.treatment,position,length,thickness,dry.mass,af.dry.mass,tissue.mass,ci
ML,33,NP,163,No.cull,3,9.24,3.05,0.078,0.071,0.007,0.098591549
ML,33,NP,163,No.cull,4,10.4,3.77,0.136,0.11,0.026,0.236363636
ML,33,NP,163,No.cull,6,12.68,3.17,0.083,0.077,0.006,0.077922078
ML,33,NP,163,No.cull,7,10.22,2.93,0.089,0.084,0.005,0.05952381
ML,33,NP,163,No.cull,8,14.71,3.13,0.149,0.139,0.01,0.071942446
ML,33,NP,163,No.cull,9,13.12,3.06,0.139,0.131,0.008,0.061068702
ML,33,NP,163,No.cull,10,9.9,2.9,0.118,0.098,0.02,0.204081633
ML,33,NP,425,No.cull,1,13.33,3.78,0.184,0.173,0.011,0.063583815
ML,33,NP,425,No.cull,2,16.17,3.29,0.142,0.133,0.009,0.067669173
ML,33,NP,425,No.cull,3,14.17,3.64,0.19,0.179,0.011,0.061452514
ML,33,NP,425,No.cull,4,11.62,3.36,0.132,0.124,0.008,0.064516129
ML,33,NP,425,No.cull,5,17.2,3.42,0.291,0.273,0.018,0.065934066
ML,33,NP,425,No.cull,6,16.87,3.31,0.227,0.214,0.013,0.060747664
ML,33,NP,425,No.cull,8,12,4.2,0.201,0.189,0.012,0.063492063
ML,33,NP,425,No.cull,9,14.99,4.54,0.307,0.289,0.018,0.062283737
ML,33,NP,425,No.cull,10,14.91,2.79,0.123,0.115,0.008,0.069565217
ML,33,NP,431,Juv.cull,1,13.2,2.72,0.147,0.139,0.008,0.057553957
ML,33,NP,431,Juv.cull,6,12.17,3.24,0.162,0.154,0.008,0.051948052
ML,33,NP,431,Juv.cull,8,15.05,3.91,0.181,0.169,0.012,0.071005917
ML,33,NP,431,Juv.cull,10,18.18,3.82,0.298,0.282,0.016,0.056737589
ML,35,CC,137,No.cull,1,16.66,4.34,0.33,0.301,0.029,0.096345515
ML,35,CC,137,No.cull,3,11.99,3.29,0.161,0.148,0.013,0.087837838
ML,35,CC,137,No.cull,4,10.96,2.63,0.086,0.085,0.001,0.011764706
ML,35,CC,137,No.cull,5,12.38,2.61,0.086,0.082,0.004,0.048780488
ML,35,CC,137,No.cull,7,10.47,3.5,0.114,0.108,0.006,0.055555556
ML,35,CC,137,No.cull,8,13.93,3.34,0.16,0.15,0.01,0.066666667
ML,35,CC,137,No.cull,9,7.62,2.52,0.068,0.064,0.004,0.0625
ML,35,CC,137,No.cull,10,13.9,2.62,0.121,0.115,0.006,0.052173913
ML,35,CC,145,No.cull,2,11.82,3.22,0.106,0.097,0.009,0.092783505
ML,35,CC,145,No.cull,3,15.43,3.8,0.229,0.212,0.017,0.080188679
ML,35,CC,145,No.cull,4,14.4,3.08,0.157,0.147,0.01,0.068027211
ML,35,CC,145,No.cull,5,17.95,4.56,0.419,0.387,0.032,0.082687339
ML,35,CC,145,No.cull,7,15.68,3.96,0.23,0.215,0.015,0.069767442
ML,35,CC,145,No.cull,9,13.1,3.83,0.235,0.223,0.012,0.053811659
ML,35,CC,147,No.cull,1,9.85,3.51,0.112,0.103,0.009,0.087378641
ML,35,CC,147,No.cull,4,8.77,3.16,0.091,0.085,0.006,0.070588235
ML,35,CC,147,No.cull,6,14.8,3.63,0.241,0.231,0.01,0.043290043
ML,35,CC,147,No.cull,9,15.63,3.41,0.247,0.236,0.011,0.046610169
ML,35,CC,147,No.cull,10,13.6,2.54,0.115,0.108,0.007,0.064814815
ML,35,CC,148,No.cull,1,9.76,3.35,0.14,0.132,0.008,0.060606061
ML,35,CC,148,No.cull,2,19.11,3.42,0.29,0.272,0.018,0.066176471
ML,35,CC,148,No.cull,3,17.07,3.02,0.265,0.249,0.016,0.064257028
ML,35,CC,148,No.cull,4,13.91,3.5,0.196,0.175,0.021,0.12
ML,35,CC,148,No.cull,5,15.42,3.46,0.184,0.177,0.007,0.039548023
ML,35,CC,148,No.cull,6,16.35,3.3,0.21,0.205,0.005,0.024390244
ML,35,CC,148,No.cull,7,17.15,3.52,0.249,0.236,0.013,0.055084746
ML,35,CC,148,No.cull,8,14.48,4.61,0.289,0.271,0.018,0.066420664
ML,35,CC,148,No.cull,9,19.33,5.11,0.599,0.552,0.047,0.085144928
ML,35,CC,148,No.cull,10,17.85,4.16,0.254,0.237,0.017,0.071729958
ML,35,CC,149,Juv.cull,1,19.05,4.02,0.318,0.304,0.014,0.046052632
ML,35,CC,149,Juv.cull,2,12.23,3.22,0.174,0.164,0.01,0.06097561
ML,35,CC,149,Juv.cull,4,13.45,3.7,0.241,0.225,0.016,0.071111111
ML,35,CC,149,Juv.cull,8,18.61,3.25,0.257,0.244,0.013,0.053278689
ML,35,CC,149,Juv.cull,10,21.47,4.23,0.174,0.163,0.011,0.067484663
ML,35,CC,155,Juv.cull,1,15.26,3.86,0.226,0.213,0.013,0.061032864
ML,35,CC,155,Juv.cull,3,14.55,3.58,0.16,0.148,0.012,0.081081081
ML,35,CC,155,Juv.cull,6,13.53,3.18,0.133,0.124,0.009,0.072580645
ML,35,CC,155,Juv.cull,8,14.81,3,0.182,0.173,0.009,0.052023121
ML,35,CC,155,Juv.cull,10,16.9,3.15,0.18,0.166,0.014,0.084337349
ML,35,CC,166,No.cull,1,12.39,2.62,0.08,0.068,0.012,0.176470588
ML,35,CC,166,No.cull,3,9.04,3.22,0.067,0.063,0.004,0.063492063
ML,35,CC,166,No.cull,4,15.69,3.77,0.206,0.196,0.01,0.051020408
ML,35,CC,166,No.cull,5,17.85,3.37,0.283,0.263,0.02,0.076045627
ML,35,CC,166,No.cull,8,10.29,2.47,0.051,0.045,0.006,0.133333333
ML,35,CC,172,Juv.cull,1,15.36,3.04,0.197,0.184,0.013,0.070652174
ML,35,CC,172,Juv.cull,3,16.54,2.59,0.157,0.145,0.012,0.082758621
ML,35,CC,172,Juv.cull,4,13.57,4.04,0.189,0.181,0.008,0.044198895
ML,35,CC,174,Juv.cull,4,12.31,2.72,0.099,0.09,0.009,0.1
ML,35,CC,174,Juv.cull,5,9.23,2.63,0.093,0.087,0.006,0.068965517
ML,35,CC,664,No.cull,1,21.31,4.98,0.381,0.357,0.024,0.067226891
ML,35,CC,664,No.cull,3,13,3,0.145,0.136,0.009,0.066176471
ML,35,CC,664,No.cull,7,17.65,3.34,0.237,0.221,0.016,0.07239819
ML,35,CC,664,No.cull,9,15.75,3.68,0.24,0.228,0.012,0.052631579
ML,35,CC,664,No.cull,10,17.46,3.79,0.288,0.273,0.015,0.054945055
ML,35,CC,666,Juv.cull,6,12.59,3.07,0.168,0.161,0.007,0.043478261
ML,38,MC,4,Juv.cull,2,16.1,3.2,0.177,0.163,0.014,0.085889571
ML,38,MC,4,Juv.cull,3,14.99,4.38,0.311,0.292,0.019,0.065068493
ML,38,MC,4,Juv.cull,5,15.59,3.4,0.246,0.232,0.014,0.060344828
ML,38,MC,4,Juv.cull,7,14.79,3.71,0.148,0.137,0.011,0.080291971
ML,38,MC,14,Juv.cull,3,17.47,3.26,0.23,0.213,0.017,0.079812207
ML,38,MC,14,Juv.cull,5,11.12,3.45,0.162,0.151,0.011,0.072847682
ML,38,MC,14,Juv.cull,6,14.81,2.9,0.16,0.152,0.008,0.052631579
ML,38,MC,14,Juv.cull,7,15.35,3.52,0.191,0.179,0.012,0.067039106
ML,38,MC,14,Juv.cull,9,18.22,3.55,0.311,0.287,0.024,0.083623693
ML,38,MC,26,No.cull,1,17.71,3.51,0.273,0.255,0.018,0.070588235
ML,38,MC,26,No.cull,2,18.04,4.3,0.277,0.258,0.019,0.073643411
ML,38,MC,26,No.cull,3,15.7,3.69,0.197,0.189,0.008,0.042328042
ML,38,MC,26,No.cull,4,16.61,3.01,0.218,0.205,0.013,0.063414634
ML,38,MC,26,No.cull,5,20.63,3.68,0.367,0.346,0.021,0.060693642
ML,38,MC,26,No.cull,7,15.54,3.31,0.23,0.216,0.014,0.064814815
ML,38,MC,26,No.cull,8,14.18,3.9,0.209,0.196,0.013,0.066326531
ML,38,MC,26,No.cull,9,14.04,3.94,0.275,0.257,0.018,0.070038911
ML,38,MC,29,No.cull,2,12.87,3.07,0.163,0.149,0.014,0.093959732
ML,38,MC,29,No.cull,3,13.69,2.95,0.147,0.137,0.01,0.072992701
ML,38,MC,29,No.cull,5,16.66,3.45,0.087,0.082,0.005,0.06097561
ML,38,MC,29,No.cull,9,13.96,3.46,0.197,0.192,0.005,0.026041667
ML,38,MC,29,No.cull,10,11.65,3.12,0.126,0.119,0.007,0.058823529
ML,38,MC,123,No.cull,3,13.86,2.95,0.133,0.125,0.008,0.064
ML,38,MC,123,No.cull,4,17.6,3.28,0.241,0.225,0.016,0.071111111
ML,38,MC,123,No.cull,5,18.54,3.99,0.339,0.318,0.021,0.066037736
ML,38,MC,123,No.cull,6,19.43,4.26,0.301,0.282,0.019,0.067375887
ML,38,MC,123,No.cull,7,14.24,3.62,0.183,0.171,0.012,0.070175439
ML,38,MC,123,No.cull,8,18.93,4.15,0.372,0.352,0.02,0.056818182
ML,38,MC,123,No.cull,9,22.33,6.59,1.026,0.957,0.069,0.072100313
ML,38,MC,123,No.cull,10,17.5,3.8,0.193,0.184,0.009,0.048913043
ML,38,MC,191,No.cull,2,12.96,3.71,0.185,0.173,0.012,0.069364162
ML,38,MC,191,No.cull,3,8.75,2.37,0.064,0.061,0.003,0.049180328
ML,38,MC,191,No.cull,4,14.08,2.97,0.129,0.118,0.011,0.093220339
ML,38,MC,191,No.cull,5,11.37,2.79,0.114,0.105,0.009,0.085714286
ML,38,MC,191,No.cull,6,11.85,3.63,0.15,0.132,0.018,0.136363636
ML,38,MC,191,No.cull,7,11.87,3.64,0.158,0.147,0.011,0.074829932
ML,38,MC,191,No.cull,8,15.01,3.03,0.171,0.159,0.012,0.075471698
ML,38,MC,191,No.cull,9,11.65,3.1,0.139,0.128,0.011,0.0859375
ML,38,MC,201,Juv.cull,2,10.84,2.29,0.066,0.06,0.006,0.1
ML,38,MC,201,Juv.cull,6,11.32,3.53,0.152,0.142,0.01,0.070422535
ML,38,MC,201,Juv.cull,7,21.24,5.01,0.555,0.523,0.032,0.061185468
ML,38,MC,488,Juv.cull,3,15.71,3.39,0.211,0.196,0.015,0.076530612
ML,38,MC,488,Juv.cull,4,17.94,3.49,0.23,0.218,0.012,0.055045872
ML,38,MC,488,Juv.cull,6,10.55,4.45,0.185,0.174,0.011,0.063218391
ML,38,MC,488,Juv.cull,8,13.82,3.67,0.168,0.157,0.011,0.070063694
ML,38,MC,492,No.cull,2,9.91,3.02,0.122,0.113,0.009,0.079646018
ML,38,MC,492,No.cull,5,16.49,4.45,0.325,0.306,0.019,0.062091503
ML,38,MC,492,No.cull,6,16.76,4.14,0.239,0.224,0.015,0.066964286
ML,38,MC,492,No.cull,7,14.52,3.61,0.191,0.178,0.013,0.073033708
ML,38,MC,492,No.cull,9,18.22,3.59,0.261,0.244,0.017,0.069672131
ML,38,MC,492,No.cull,10,14.42,3.05,0.141,0.13,0.011,0.084615385
ML,38,MC,502,Juv.cull,1,9.41,3.26,0.095,0.087,0.008,0.091954023
ML,38,MC,502,Juv.cull,9,10.22,2.46,0.088,0.08,0.008,0.1
ML,38,MC,662,Juv.cull,1,12.31,4.19,0.238,0.221,0.017,0.076923077
ML,41,MC,83,Juv.cull,5,15.17,3.33,0.161,0.146,0.015,0.102739726
ML,41,MC,83,Juv.cull,8,16.79,3.32,0.2,0.184,0.016,0.086956522
ML,41,MC,83,Juv.cull,9,11.19,3.16,0.098,0.093,0.005,0.053763441
ML,41,MC,88,Juv.cull,2,8.85,3,0.103,0.093,0.01,0.107526882
ML,41,MC,88,Juv.cull,3,18.29,4.04,0.301,0.282,0.019,0.067375887
ML,41,MC,88,Juv.cull,4,20.93,5.23,0.381,0.355,0.026,0.073239437
ML,41,MC,88,Juv.cull,7,16.95,3.93,0.235,0.22,0.015,0.068181818
ML,41,MC,88,Juv.cull,8,20.87,4.35,0.455,0.425,0.03,0.070588235
ML,41,MC,97,No.cull,3,19.03,4.66,0.506,0.495,0.011,0.022222222
ML,41,MC,97,No.cull,6,16.23,3.55,0.204,0.198,0.006,0.03030303
ML,41,MC,97,No.cull,7,12.73,2.75,0.112,0.105,0.007,0.066666667
ML,41,MC,97,No.cull,8,12.4,3.23,0.123,0.115,0.008,0.069565217
ML,41,MC,97,No.cull,9,12.98,4.18,0.209,0.122,0.087,0.713114754
ML,41,MC,97,No.cull,10,14.33,3.21,0.145,0.131,0.014,0.106870229
ML,41,MC,104,Juv.cull,4,12.89,4.22,0.232,0.21,0.022,0.104761905
ML,41,MC,104,Juv.cull,6,18.24,4.02,0.392,0.367,0.025,0.068119891
ML,41,MC,104,Juv.cull,9,14.54,3.49,0.138,0.115,0.023,0.2
ML,41,MC,104,Juv.cull,10,19.5,3.46,0.269,0.244,0.025,0.102459016
ML,41,MC,345,No.cull,1,19.69,3.96,0.39,0.363,0.027,0.074380165
ML,41,MC,345,No.cull,2,13.77,4,0.157,0.147,0.01,0.068027211
ML,41,MC,345,No.cull,3,15.46,4.15,0.233,0.218,0.015,0.068807339
ML,41,MC,345,No.cull,4,19.57,4.21,0.379,0.347,0.032,0.09221902
ML,41,MC,345,No.cull,5,17.53,3.23,0.237,0.22,0.017,0.077272727
ML,41,MC,345,No.cull,6,14.35,3.83,0.19,0.177,0.013,0.073446328
ML,41,MC,345,No.cull,7,16.31,4.07,0.208,0.194,0.014,0.072164948
ML,41,MC,345,No.cull,8,16.9,3.91,0.305,0.286,0.019,0.066433566
ML,41,MC,345,No.cull,9,16.42,4.17,0.25,0.235,0.015,0.063829787
ML,41,MC,345,No.cull,10,20.44,3.48,0.346,0.321,0.025,0.07788162
ML,41,MC,412,No.cull,1,11.68,3.27,0.098,0.09,0.008,0.088888889
ML,41,MC,412,No.cull,5,12.03,3.39,0.134,0.127,0.007,0.05511811
ML,41,MC,412,No.cull,6,13.29,3.26,0.166,0.148,0.018,0.121621622
ML,41,MC,412,No.cull,7,11.7,3.33,0.09,0.085,0.005,0.058823529
ML,41,MC,412,No.cull,8,10.11,2.2,0.052,0.05,0.002,0.04
ML,41,MC,412,No.cull,9,15.22,3,0.152,0.142,0.01,0.070422535
ML,41,MC,412,No.cull,10,10.49,3.6,0.083,0.078,0.005,0.064102564
ML,41,MC,444,Juv.cull,2,14.26,3.61,0.187,0.183,0.004,0.021857923
ML,41,MC,444,Juv.cull,4,15.77,3.57,0.203,0.193,0.01,0.051813472
ML,41,MC,444,Juv.cull,8,13.76,3.68,0.214,0.203,0.011,0.054187192
ML,41,MC,444,Juv.cull,9,18.94,3.75,0.308,0.287,0.021,0.073170732
ML,41,MC,445,No.cull,1,17.13,3.22,0.175,0.173,0.002,0.011560694
ML,41,MC,445,No.cull,2,18.03,3.18,0.24,0.232,0.008,0.034482759
ML,41,MC,445,No.cull,3,18.14,3.64,0.335,0.314,0.021,0.066878981
ML,41,MC,445,No.cull,4,13.79,2.63,0.103,0.095,0.008,0.084210526
ML,41,MC,445,No.cull,5,12.87,3.88,0.17,0.158,0.012,0.075949367
ML,41,MC,445,No.cull,6,18.28,3.84,0.315,0.293,0.022,0.075085324
ML,41,MC,445,No.cull,7,19.29,4.47,0.344,0.317,0.027,0.085173502
ML,41,MC,445,No.cull,8,13.4,3.49,0.163,0.145,0.018,0.124137931
ML,41,MC,445,No.cull,9,16.05,3.2,0.238,0.22,0.018,0.081818182
ML,41,MC,445,No.cull,10,16.16,5.43,0.271,0.242,0.029,0.119834711
ML,41,MC,448,No.cull,1,10.58,3.12,0.073,0.068,0.005,0.073529412
ML,41,MC,448,No.cull,2,9.04,2.46,0.045,0.052,-0.007,-0.134615385
ML,41,MC,448,No.cull,3,12.17,2.94,0.112,0.114,-0.002,-0.01754386
ML,41,MC,448,No.cull,4,13.59,2.8,0.149,0.138,0.011,0.079710145
ML,41,MC,448,No.cull,6,9.33,2.98,0.073,0.069,0.004,0.057971014
ML,41,MC,448,No.cull,7,11.15,3.21,0.158,0.148,0.01,0.067567568
ML,41,MC,448,No.cull,8,14.14,3.44,0.156,0.146,0.01,0.068493151
ML,41,MC,448,No.cull,9,9.35,3.71,0.094,0.08,0.014,0.175
ML,41,MC,448,No.cull,10,12.14,2.32,0.096,0.079,0.017,0.215189873
ML,41,MC,455,No.cull,1,15.66,3.85,0.181,0.17,0.011,0.064705882
ML,41,MC,455,No.cull,2,17.41,3.36,0.198,0.182,0.016,0.087912088
ML,41,MC,455,No.cull,3,13.46,4.15,0.124,0.101,0.023,0.227722772
ML,41,MC,455,No.cull,4,18.25,2.97,0.157,0.148,0.009,0.060810811
ML,41,MC,455,No.cull,5,18.8,3.79,0.241,0.235,0.006,0.025531915
ML,41,MC,455,No.cull,7,15.76,3.8,0.204,0.192,0.012,0.0625
ML,41,MC,455,No.cull,8,15.54,3.57,0.145,0.135,0.01,0.074074074
ML,41,MC,455,No.cull,9,18.35,4.36,0.293,0.276,0.017,0.061594203
ML,41,MC,455,No.cull,10,17.42,4.08,0.205,0.193,0.012,0.062176166
ML,41,MC,460,Juv.cull,3,9.64,3.08,0.075,0.065,0.01,0.153846154
ML,41,MC,460,Juv.cull,7,10.55,2.3,0.063,0.055,0.008,0.145454545
ML,41,MC,460,Juv.cull,8,10.44,3.97,0.114,0.094,0.02,0.212765957
ML,41,MC,460,Juv.cull,10,12.52,3.07,0.115,0.098,0.017,0.173469388
ML,41,MC,474,Juv.cull,2,15.49,3.87,0.168,0.116,0.052,0.448275862
ML,41,MC,474,Juv.cull,3,12.53,2.86,0.091,0.084,0.007,0.083333333
ML,41,MC,474,Juv.cull,8,14.12,3.02,0.142,0.132,0.01,0.075757576
ML,43,MC,9,No.cull,1,16.23,3.64,0.253,0.245,0.008,0.032653061
ML,43,MC,9,No.cull,2,20.75,3.81,0.315,0.297,0.018,0.060606061
ML,43,MC,9,No.cull,3,16.84,4.08,0.267,0.254,0.013,0.051181102
ML,43,MC,9,No.cull,5,16.89,3.68,0.268,0.25,0.018,0.072
ML,43,MC,9,No.cull,6,18.12,3.19,0.268,0.254,0.014,0.05511811
ML,43,MC,9,No.cull,7,15.18,4.05,0.226,0.214,0.012,0.056074766
ML,43,MC,9,No.cull,8,14.03,3.81,0.186,0.179,0.007,0.039106145
ML,43,MC,9,No.cull,9,15.72,3.25,0.229,0.216,0.013,0.060185185
ML,43,MC,9,No.cull,10,15.24,4.79,0.272,0.251,0.021,0.083665339
ML,43,MC,80,No.cull,1,18.31,3.9,0.341,0.323,0.018,0.055727554
ML,43,MC,80,No.cull,2,16.88,4.61,0.395,0.359,0.036,0.100278552
ML,43,MC,80,No.cull,5,16.2,3.07,0.216,0.203,0.013,0.064039409
ML,43,MC,80,No.cull,6,15.46,3.85,0.221,0.206,0.015,0.072815534
ML,43,MC,80,No.cull,7,17.68,3.83,0.244,0.224,0.02,0.089285714
ML,43,MC,80,No.cull,8,15.94,4.09,0.377,0.322,0.055,0.170807453
ML,43,MC,80,No.cull,10,10,3.1,0.143,0.133,0.01,0.07518797
ML,43,MC,91,Juv.cull,2,11.88,2.1,0.076,0.074,0.002,0.027027027
ML,43,MC,91,Juv.cull,10,13.11,2.6,0.11,0.103,0.007,0.067961165
ML,43,MC,112,No.cull,2,15.68,4.24,0.318,0.107,0.211,1.971962617
ML,43,MC,112,No.cull,3,16.89,2.77,0.172,0.16,0.012,0.075
ML,43,MC,112,No.cull,4,17.56,3.11,0.634,0.586,0.048,0.081911263
ML,43,MC,112,No.cull,5,17.05,3.24,0.247,0.235,0.012,0.05106383
ML,43,MC,112,No.cull,9,15.38,3.28,0.207,0.196,0.011,0.056122449
ML,43,MC,117,Juv.cull,1,19.48,3.78,0.264,0.248,0.016,0.064516129
ML,43,MC,117,Juv.cull,3,17.14,4.32,0.323,0.307,0.016,0.052117264
ML,43,MC,117,Juv.cull,5,14.91,2.91,0.069,0.063,0.006,0.095238095
ML,43,MC,117,Juv.cull,9,17.56,4.8,0.333,0.318,0.015,0.047169811
ML,43,MC,117,Juv.cull,10,13.47,4.11,0.278,0.267,0.011,0.041198502
ML,43,MC,118,No.cull,1,11.84,4.03,0.221,0.21,0.011,0.052380952
ML,43,MC,118,No.cull,1,14.86,2.98,0.155,0.145,0.01,0.068965517
ML,43,MC,118,No.cull,2,16.39,4.14,0.367,0.339,0.028,0.08259587
ML,43,MC,118,No.cull,3,16.71,3.75,0.311,0.292,0.019,0.065068493
ML,43,MC,118,No.cull,3,12.21,3.05,0.127,0.121,0.006,0.049586777
ML,43,MC,118,No.cull,4,12.57,4.05,0.158,0.149,0.009,0.060402685
ML,43,MC,118,No.cull,5,14.57,3.76,0.199,0.189,0.01,0.052910053
ML,43,MC,118,No.cull,5,14.16,3.89,0.251,0.236,0.015,0.063559322
ML,43,MC,118,No.cull,6,11.02,4.15,0.151,0.142,0.009,0.063380282
ML,43,MC,118,No.cull,7,11.32,3.17,0.159,0.149,0.01,0.067114094
ML,43,MC,118,No.cull,8,15.4,3.34,0.184,0.175,0.009,0.051428571
ML,43,MC,118,No.cull,8,16.88,3.85,0.197,0.184,0.013,0.070652174
ML,43,MC,118,No.cull,9,16.38,3.04,0.188,0.175,0.013,0.074285714
ML,43,MC,118,No.cull,9,16.62,4.43,0.309,0.288,0.021,0.072916667
ML,43,MC,118,No.cull,10,14.09,3.87,0.311,0.127,0.184,1.448818898
ML,43,MC,119,Juv.cull,1,16.5,3.16,0.179,0.17,0.009,0.052941176
ML,43,MC,119,Juv.cull,5,16.3,3.63,0.25,0.234,0.016,0.068376068
ML,43,MC,119,Juv.cull,7,14.58,3.42,0.181,0.17,0.011,0.064705882
ML,43,MC,119,Juv.cull,8,15.9,4.04,0.256,0.24,0.016,0.066666667
ML,43,MC,124,Juv.cull,1,17.99,4.22,0.352,0.325,0.027,0.083076923
ML,43,MC,124,Juv.cull,3,16.24,4.33,0.303,0.27,0.033,0.122222222
ML,43,MC,124,Juv.cull,4,14.96,4.16,0.161,0.148,0.013,0.087837838
ML,43,MC,124,Juv.cull,6,17.53,3.71,0.252,0.226,0.026,0.115044248
ML,43,MC,124,Juv.cull,10,18.3,4.43,0.383,0.358,0.025,0.069832402
ML,43,MC,131,No.cull,2,17.62,4.32,0.296,0.282,0.014,0.04964539
ML,43,MC,131,No.cull,3,12.73,2.69,0.118,0.11,0.008,0.072727273
ML,43,MC,131,No.cull,4,16.52,2.87,0.19,0.178,0.012,0.06741573
ML,43,MC,131,No.cull,5,16.12,4.55,0.333,0.314,0.019,0.060509554
ML,43,MC,131,No.cull,7,13.31,4.19,0.205,0.193,0.012,0.062176166
ML,43,MC,131,No.cull,8,15.33,4.13,0.206,0.195,0.011,0.056410256
ML,43,MC,131,No.cull,9,11.51,3.82,0.191,0.176,0.015,0.085227273
ML,43,MC,131,No.cull,10,14.52,3.31,0.172,0.161,0.011,0.068322981
ML,43,MC,132,Juv.cull,5,18.29,3.32,0.257,0.244,0.013,0.053278689
ML,43,MC,132,Juv.cull,6,16.39,3.54,0.322,0.174,0.148,0.850574713
ML,43,MC,132,Juv.cull,8,14.44,3.58,0.199,0.183,0.016,0.087431694
ML,43,MC,132,Juv.cull,9,11.15,2.7,0.24,0.226,0.014,0.061946903
ML,43,MC,132,Juv.cull,10,13.8,3.49,0.19,0.177,0.013,0.073446328
ML,43,MC,144,Juv.cull,5,16.1,3.7,0.229,0.213,0.016,0.075117371
ML,43,MC,144,Juv.cull,6,12.47,2.94,0.103,0.094,0.009,0.095744681
ML,43,MC,144,Juv.cull,9,12.57,4.07,0.223,0.206,0.017,0.082524272
ML,43,MC,144,Juv.cull,10,10.1,3.29,0.13,0.119,0.011,0.092436975
ML,43,MC,159,No.cull,1,18.26,3.86,0.318,0.297,0.021,0.070707071
ML,43,MC,159,No.cull,2,15.17,4.29,0.263,0.243,0.02,0.082304527
ML,43,MC,159,No.cull,3,10.94,4.02,0.168,0.132,0.036,0.272727273
ML,43,MC,159,No.cull,4,14.22,2.82,0.154,0.141,0.013,0.092198582
ML,43,MC,159,No.cull,5,13.65,4.47,0.177,0.161,0.016,0.099378882
ML,43,MC,159,No.cull,6,13.11,3.64,0.175,0.162,0.013,0.080246914
ML,43,MC,159,No.cull,7,18.69,3.91,0.275,0.249,0.026,0.104417671
ML,43,MC,159,No.cull,8,19.13,3.92,0.344,0.323,0.021,0.06501548
ML,43,MC,159,No.cull,9,16.08,3.76,0.224,0.206,0.018,0.087378641
ML,43,MC,159,No.cull,10,19.17,3.52,0.265,0.248,0.017,0.068548387
ML,44,NP,76,Juv.cull,2,19.88,5.3,0.456,0.426,0.03,0.070422535
ML,44,NP,76,Juv.cull,3,20,4.39,0.415,0.389,0.026,0.066838046
ML,44,NP,76,Juv.cull,7,21.84,4.63,0.507,0.467,0.04,0.085653105
ML,44,NP,76,Juv.cull,10,24.14,4.14,0.631,0.586,0.045,0.076791809
ML,44,NP,86,Juv.cull,2,18.37,4.84,0.378,0.351,0.027,0.076923077
ML,44,NP,86,Juv.cull,4,17.89,4.07,0.271,0.252,0.019,0.075396825
ML,44,NP,86,Juv.cull,9,14.21,4.65,0.31,0.288,0.022,0.076388889
ML,44,NP,102,Juv.cull,1,25.13,5.28,0.73,0.679,0.051,0.075110457
ML,44,NP,102,Juv.cull,5,18.47,4.43,0.287,0.264,0.023,0.087121212
ML,44,NP,102,Juv.cull,9,23.27,4.75,0.566,0.53,0.036,0.067924528
ML,44,NP,102,Juv.cull,10,20.23,5.47,0.472,0.446,0.026,0.058295964
ML,44,NP,126,No.cull,1,20.78,5.07,0.531,0.486,0.045,0.092592593
ML,44,NP,126,No.cull,2,13.05,3.53,0.145,0.134,0.011,0.082089552
ML,44,NP,126,No.cull,3,13.07,3.61,0.134,0.124,0.01,0.080645161
ML,44,NP,126,No.cull,4,16.49,3.24,0.21,0.196,0.014,0.071428571
ML,44,NP,126,No.cull,5,17.46,3.91,0.278,0.257,0.021,0.081712062
ML,44,NP,126,No.cull,6,18.25,3.61,0.267,0.247,0.02,0.08097166
ML,44,NP,126,No.cull,8,15.46,2.95,0.168,0.155,0.013,0.083870968
ML,44,NP,126,No.cull,9,18.91,3.67,0.317,0.293,0.024,0.081911263
ML,44,NP,126,No.cull,10,14.74,3.59,0.193,0.179,0.014,0.078212291
ML,44,NP,156,No.cull,1,15.26,3.81,0.249,0.232,0.017,0.073275862
ML,44,NP,156,No.cull,2,22.51,4.44,0.545,0.509,0.036,0.070726916
ML,44,NP,156,No.cull,3,17.21,4.87,0.403,0.377,0.026,0.068965517
ML,44,NP,156,No.cull,4,16.46,4.92,0.279,0.26,0.019,0.073076923
ML,44,NP,156,No.cull,5,18.9,4.53,0.297,0.275,0.022,0.08
ML,44,NP,156,No.cull,6,15.26,3.61,0.225,0.208,0.017,0.081730769
ML,44,NP,156,No.cull,7,19.82,4.45,0.526,0.486,0.04,0.082304527
ML,44,NP,156,No.cull,8,21.61,3.66,0.381,0.351,0.03,0.085470085
ML,44,NP,156,No.cull,9,16.11,3.53,0.228,0.214,0.014,0.065420561
ML,44,NP,156,No.cull,10,23.32,3.72,0.545,0.504,0.041,0.081349206
ML,44,NP,303,Juv.cull,4,14.2,3,0.141,0.131,0.01,0.076335878
ML,44,NP,303,Juv.cull,5,16.28,3.49,0.195,0.18,0.015,0.083333333
ML,44,NP,303,Juv.cull,7,15.72,3.15,0.163,0.151,0.012,0.079470199
ML,44,NP,303,Juv.cull,10,13.44,3.5,0.114,0.107,0.007,0.065420561
ML,44,NP,303,Juv.cull,6,11.89,3.78,0.22,0.181,0.039,0.215469613
ML,44,NP,335,Juv.cull,3,19.4,4.3,0.472,0.095,0.377,3.968421053
ML,44,NP,335,Juv.cull,6,22.05,5.16,0.439,0.408,0.031,0.075980392
ML,44,NP,335,Juv.cull,8,23.4,3.83,0.396,0.368,0.028,0.076086957
